Count,Filename_0,Time_0,FrameDisp_(mm),Load_(N)
286,ENF-05_0286.png,145.98,2.48386080807302,601.3662937254
287,ENF-05_0287.png,146.48,2.49561900081666,605.5352099916
288,ENF-05_0288.png,146.98,2.5024008282768,608.7387290712
289,ENF-05_0289.png,147.48,2.51777819577209,611.6058292722
290,ENF-05_0290.png,147.98,2.52727027909677,614.019388962
291,ENF-05_0291.png,148.48,2.53541204722157,616.0672160034
292,ENF-05_0292.png,148.98,2.53767128130855,618.0566823984
293,ENF-05_0293.png,149.48,2.54897707720824,620.0899637604
294,ENF-05_0294.png,149.98,2.55530788289082,622.4597084832
295,ENF-05_0295.png,150.48,2.56796949425598,625.0780642218
296,ENF-05_0296.png,150.98,2.57022872834296,627.3454109202
297,ENF-05_0297.png,151.48,2.57972493686684,629.9784013026
298,ENF-05_0298.png,151.98,2.59193552645444,632.7431479614
299,ENF-05_0299.png,152.48,2.59826633213701,635.5516206228
300,ENF-05_0300.png,152.98,2.61273340567881,638.4333554676
301,ENF-05_0301.png,153.48,2.62358680473454,641.2711418988
302,ENF-05_0302.png,153.98,2.63172857285934,643.4653598604
303,ENF-05_0303.png,154.48,2.63263061641446,645.6888026274
304,ENF-05_0304.png,154.98,2.6443901842245,648.3656969412
305,ENF-05_0305.png,155.48,2.65433741452593,651.1011743124
306,ENF-05_0306.png,155.98,2.66428326976096,653.719530051
307,ENF-05_0307.png,156.48,2.66835346629017,655.6650035502
308,ENF-05_0308.png,156.98,2.67965788712346,657.7714581312
309,ENF-05_0309.png,157.48,2.68734588333791,661.5016019766
310,ENF-05_0310.png,157.98,2.69910270101516,664.3539785694
311,ENF-05_0311.png,158.48,2.70498110985378,666.6652291992
312,ENF-05_0312.png,158.98,2.71719032437499,668.9618451852
313,ENF-05_0313.png,159.48,2.7221653145921,671.0390304786
314,ENF-05_0314.png,159.98,2.73120912627201,673.1746653828
315,ENF-05_0315.png,160.48,2.73980054110797,675.7930656036
316,ENF-05_0316.png,160.98,2.75246077740674,680.1814570446
317,ENF-05_0317.png,161.48,2.76150458908665,683.267943456
318,ENF-05_0318.png,161.98,2.77371380360785,685.7839011702
319,ENF-05_0319.png,162.48,2.77868741875857,687.3637309854
320,ENF-05_0320.png,162.98,2.78818362728244,689.7188410644
321,ENF-05_0321.png,163.48,2.7958688733641,692.1616700418
322,ENF-05_0322.png,163.98,2.80627125064227,694.6777167204
323,ENF-05_0323.png,164.48,2.81576745916614,696.9011150052
324,ENF-05_0324.png,164.98,2.82390647715815,701.8307658558
325,ENF-05_0325.png,165.48,2.8397334913646,705.5024156082
326,ENF-05_0326.png,165.98,2.8519427058858,707.8721158488
327,ENF-05_0327.png,166.48,2.86053549578816,710.0662893282
328,ENF-05_0328.png,166.98,2.86596013271643,712.245872646
329,ENF-05_0329.png,167.48,2.87410052577483,714.4254114816
330,ENF-05_0330.png,167.98,2.8826905655444,716.2685314386
331,ENF-05_0331.png,168.48,2.89173437722431,718.4334801126
332,ENF-05_0332.png,168.98,2.88992478984849,720.2180614944
333,ENF-05_0333.png,169.48,2.90168298259213,722.587761735
334,ENF-05_0334.png,169.98,2.91117919111601,725.9375382882
335,ENF-05_0335.png,170.48,2.92474422110268,728.5413928296
336,ENF-05_0336.png,170.98,2.93197982047317,730.7063415036
337,ENF-05_0337.png,171.48,2.94011883846518,733.032182295
338,ENF-05_0338.png,171.98,2.94554622552624,735.4018825356
339,ENF-05_0339.png,172.48,2.95775544004745,738.2835728982
340,ENF-05_0340.png,172.98,2.96951225772469,741.077455398
341,ENF-05_0341.png,173.48,2.97267628549959,744.0469091412
342,ENF-05_0342.png,173.98,2.98624131548627,746.563000302
343,ENF-05_0343.png,174.48,2.99076253379303,748.6694104008
344,ENF-05_0344.png,174.98,3.00206832969272,750.7172819244
345,ENF-05_0345.png,175.48,3.01111076630623,753.847627785
346,ENF-05_0346.png,175.98,3.02015457798615,756.2612764392
347,ENF-05_0347.png,176.48,3.02422477451535,758.2653329958
348,ENF-05_0348.png,176.98,3.03236516757375,760.3278836454
349,ENF-05_0349.png,177.48,3.04593157262682,763.0047779592
350,ENF-05_0350.png,177.98,3.05587742786185,764.9648861022
351,ENF-05_0351.png,178.48,3.05859180892559,767.3492654688
352,ENF-05_0352.png,178.98,3.07758422597333,772.08866595
353,ENF-05_0353.png,179.48,3.08436605343346,775.3799928924
354,ENF-05_0354.png,179.98,3.09386363702373,777.822866352
355,ENF-05_0355.png,180.48,3.10697627016645,780.0170398314
356,ENF-05_0356.png,180.98,3.11285605407147,782.1819440232
357,ENF-05_0357.png,181.48,3.12144609384104,783.8934411504
358,ENF-05_0358.png,181.98,3.12867894307873,786.1607433666
359,ENF-05_0359.png,182.48,3.13229811783038,788.6036613084
360,ENF-05_0360.png,182.98,3.14134192951029,790.6954812456
361,ENF-05_0361.png,183.48,3.14812375697043,793.0651814862
362,ENF-05_0362.png,183.98,3.16485556486479,797.980197693
363,ENF-05_0363.png,184.48,3.17932538853938,801.5493604566
364,ENF-05_0364.png,184.98,3.185203797378,804.3432874386
365,ENF-05_0365.png,185.48,3.19877020243107,806.66912823
